City,Year,Season,Country,loc,latitude,longitude
Athina,1896,Summer,Greece,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς",37.9839412,23.7283052
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1900,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
St. Louis,1904,Summer,United States,"St. Louis, City of Saint Louis, Madison County, Illinois, United States",38.6529545,-90.24111656024635
Athina,1906,Summer,Greece,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 10667, Ελλάς",37.9839412,23.7283052
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
London,1908,Summer,United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Stockholm,1912,Summer,Sweden,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Antwerpen,1920,Summer,Belgium,"Antwerpen, Vlaanderen, België / Belgique / Belgien",51.2211097,4.3997081
Chamonix,1924,Winter,France,"Chamonix, Mammoth Lakes, Mono County, California, United States",37.64665545,-118.99859339271407
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Paris,1924,Summer,France,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Amsterdam,1928,Summer,Netherlands,"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041
Sankt Moritz,1928,Winter,Switzerland,"Sankt Moritz, Maloja, Graubünden/Grischun/Grigioni, 7500, Schweiz/Suisse/Svizzera/Svizra",46.4960592,9.8386578
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
Lake Placid,1932,Winter,United States,"Lake Placid, Essex County, New York, 02946, United States",44.279621,-73.979874
