City,Year,Season,loc,latitude,longitude
Barcelona,1992,Summer,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3828939,2.1774322
London,2012,Summer,"London, Greater London, England, United Kingdom",51.5073359,-0.12765
Antwerpen,1920,Summer,"Antwerpen, Vlaanderen, België / Belgique / Belgien",51.2211097,4.3997081
Paris,1900,Summer,"Paris, Île-de-France, France métropolitaine, 75007, France",48.8534951,2.3483915
Calgary,1988,Winter,"Calgary, Division No. 6, Alberta, Canada",51.0460954,-114.065465
Albertville,1992,Winter,"Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73200, France",45.6754622,6.3925417
Lillehammer,1994,Winter,"Lillehammer, Innlandet, 2609, Norge",61.1145451,10.4670073
Los Angeles,1932,Summer,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
Salt Lake City,2002,Winter,"Salt Lake City, Salt Lake County, Utah, United States",40.7596198,-111.886797
Helsinki,1952,Summer,"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",60.1674881,24.9427473
Lake Placid,1980,Winter,"Village of Lake Placid, Town of North Elba, Essex County, New York, 12946, United States",44.279621,-73.979874
Sydney,2000,Summer,"Sydney, Council of the City of Sydney, New South Wales, Australia",-33.8698439,151.2082848
Atlanta,1996,Summer,"Atlanta, Fulton County, Georgia, United States",33.7489924,-84.3902644
Stockholm,1912,Summer,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Paris,1924,Summer,"Paris, Île-de-France, France métropolitaine, 75007, France",48.8534951,2.3483915
Sochi,2014,Winter,"Сочи, городской округ Сочи, Краснодарский край, Южный федеральный округ, Россия",43.5854823,39.723109
London,1948,Summer,"London, Greater London, England, United Kingdom",51.5073359,-0.12765
Nagano,1998,Winter,"長野県, 日本",36.1143945,138.0319015
Torino,2006,Winter,"Torino, Piemonte, Italia",45.0677551,7.6824892
Beijing,2008,Summer,"北京市, 东城区, 首都功能核心区, 北京市, 100010, 中国",39.9057136,116.3912972
Rio de Janeiro,2016,Summer,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727
Athina,2004,Summer,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 31, Ελλάς",37.9839412,23.7283052
Squaw Valley,1960,Winter,"Yokuts Valley, Fresno County, California, United States",36.7402261,-119.246785
Innsbruck,1964,Winter,"Innsbruck, Tirol, Österreich",47.2654296,11.3927685
